DATE_ADMINISTERED,NEW_1ST_DOSES,NEW_2ND_DOSES,NEW_SINGLE_DOSES,NEW_SERIES_COMPLETED,NEW_RECIPIENTS,CUMULATIVE_1ST_DOSES,CUMULATIVE_2ND_DOSES,CUMULATIVE_SINGLE_DOSES,CUMULATIVE_SERIES_COMPLETED,CUMULATIVE_RECIPIENTS,NEW_BOOSTER_DOSES,NEW_BOOSTER_RECIPIENTS,CUMULATIVE_BOOSTER_DOSES,CUMULATIVE_BOOSTER_RECIPIENTS,DATA_AS_OF,DATA_UPDATED_AT,DATA_LOADED_AT
2021/11/24,1055,315,25,340,1091,684611,622445,56900,679344,742597,5905,5885,212942,212312,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/11/25,67,72,4,76,71,684678,622517,56904,679420,742668,333,331,213275,212643,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/11/26,420,273,4,277,432,685098,622790,56908,679697,743100,3248,3240,216523,215883,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/11/27,511,1030,8,1038,521,685609,623820,56916,680735,743621,2499,2489,219022,218372,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/11/28,289,1110,10,1120,301,685898,624930,56926,681855,743922,1492,1491,220514,219863,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/11/29,778,1330,33,1363,818,686676,626260,56959,683218,744740,6263,6246,226777,226109,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/11/30,753,1536,37,1573,799,687429,627796,56996,684791,745539,6612,6592,233389,232701,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/12/01,839,1416,28,1444,875,688268,629212,57024,686235,746414,7031,7014,240420,239715,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/12/02,815,1529,34,1563,854,689083,630741,57058,687798,747268,7121,7107,247541,246822,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/12/03,842,1754,20,1774,867,689925,632495,57078,689572,748135,7493,7477,255034,254299,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/12/04,731,2228,16,2244,750,690656,634723,57094,691816,748885,3714,3698,258748,257997,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/12/05,314,578,2,580,317,690970,635301,57096,692396,749202,1641,1641,260389,259638,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/12/06,830,1154,29,1183,868,691800,636455,57125,693579,750070,6963,6945,267352,266583,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/12/07,949,1103,25,1128,983,692749,637558,57150,694707,751053,7317,7301,274669,273884,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/12/08,906,1210,30,1240,939,693655,638768,57180,695947,751992,7181,7169,281850,281053,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/12/09,808,959,33,992,845,694463,639727,57213,696939,752837,6696,6680,288546,287733,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/12/10,872,1104,26,1130,906,695335,640831,57239,698069,753743,7265,7253,295811,294986,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/12/11,651,1318,22,1340,673,695986,642149,57261,699409,754416,3389,3379,299200,298365,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/12/12,279,385,1,386,281,696265,642534,57262,699795,754697,1514,1511,300714,299876,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/12/13,687,957,15,972,707,696952,643491,57277,700767,755404,5931,5913,306645,305789,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/12/14,807,877,24,901,834,697759,644368,57301,701668,756238,6418,6403,313063,312192,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/12/15,721,889,26,915,757,698480,645257,57327,702583,756995,6274,6256,319337,318448,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/12/16,786,527,23,550,817,699266,645784,57350,703133,757812,6631,6613,325968,325061,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/12/17,859,692,13,705,876,700125,646476,57363,703838,758688,6927,6897,332895,331958,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/12/18,703,634,13,647,718,700828,647110,57376,704485,759406,3782,3760,336677,335718,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/12/19,379,243,1,244,384,701207,647353,57377,704729,759790,2069,2065,338746,337783,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/12/20,916,678,12,690,935,702123,648031,57389,705419,760725,6780,6755,345526,344538,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/12/21,980,612,17,629,1008,703103,648643,57406,706048,761733,6778,6754,352304,351292,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/12/22,856,610,15,625,882,703959,649253,57421,706673,762615,6689,6657,358993,357949,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/12/23,791,439,13,452,815,704750,649692,57434,707125,763430,5735,5713,364728,363662,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/12/24,202,134,7,141,210,704952,649826,57441,707266,763640,1684,1677,366412,365339,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/12/25,1,0,0,0,1,704953,649826,57441,707266,763641,6,6,366418,365345,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/12/26,206,156,1,157,208,705159,649982,57442,707423,763849,1006,996,367424,366341,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/12/27,791,689,7,696,806,705950,650671,57449,708119,764655,5208,5184,372632,371525,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/12/28,783,589,13,602,805,706733,651260,57462,708721,765460,5488,5442,378120,376967,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/12/29,804,511,11,522,818,707537,651771,57473,709243,766278,5326,5303,383446,382270,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/12/30,793,515,11,526,807,708330,652286,57484,709769,767085,5108,5074,388554,387344,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/12/31,255,186,6,192,261,708585,652472,57490,709961,767346,1877,1863,390431,389207,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/01/01,10,41,0,41,10,708595,652513,57490,710002,767356,29,29,390460,389236,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/01/02,176,244,2,246,178,708771,652757,57492,710248,767534,955,944,391415,390180,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/01/03,673,548,15,563,693,709444,653305,57507,710811,768227,4281,4248,395696,394428,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/01/04,589,474,16,490,610,710033,653779,57523,711301,768837,4563,4537,400259,398965,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/01/05,736,477,7,484,748,710769,654256,57530,711785,769585,4387,4346,404646,403311,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/01/06,755,540,12,552,770,711524,654796,57542,712337,770355,4756,4724,409402,408035,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/01/07,763,585,11,596,777,712287,655381,57553,712933,771132,5528,5484,414930,413519,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/01/08,510,524,6,530,516,712797,655905,57559,713463,771648,3052,3032,417982,416551,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/01/09,214,167,0,167,217,713011,656072,57559,713630,771865,1073,1063,419055,417614,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/01/10,615,429,7,436,630,713626,656501,57566,714066,772495,4403,4370,423458,421984,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/01/11,685,453,18,471,704,714311,656954,57584,714537,773199,4367,4337,427825,426321,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/01/12,694,472,11,483,705,715005,657426,57595,715020,773904,4355,4316,432180,430637,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/01/13,582,430,8,438,590,715587,657856,57603,715458,774494,4053,4016,436233,434653,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/01/14,687,378,6,384,694,716274,658234,57609,715842,775188,4484,4431,440717,439084,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/01/15,382,200,1,201,384,716656,658434,57610,716043,775572,2352,2333,443069,441417,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/01/16,176,94,2,96,178,716832,658528,57612,716139,775750,992,981,444061,442398,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/01/17,448,219,4,223,453,717280,658747,57616,716362,776203,2861,2830,446922,445228,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/01/18,509,410,7,417,518,717789,659157,57623,716779,776721,3341,3301,450263,448529,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/01/19,541,412,6,418,548,718330,659569,57629,717197,777269,3300,3271,453563,451800,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/01/20,500,385,10,395,513,718830,659954,57639,717592,777782,3076,3023,456639,454823,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/01/21,519,339,8,347,530,719349,660293,57647,717939,778312,3353,3282,459992,458105,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/01/22,384,196,4,200,391,719733,660489,57651,718139,778703,1662,1637,461654,459742,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/01/23,149,86,1,87,150,719882,660575,57652,718226,778853,842,823,462496,460565,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/01/24,472,326,9,335,482,720354,660901,57661,718561,779335,2781,2711,465277,463276,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/01/25,469,323,9,332,482,720823,661224,57670,718893,779817,2872,2821,468149,466097,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/01/26,443,397,8,405,453,721266,661621,57678,719298,780270,2672,2606,470821,468703,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/01/27,406,375,6,381,415,721672,661996,57684,719679,780685,2543,2468,473364,471171,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/01/28,481,436,10,446,492,722153,662432,57694,720125,781177,2859,2768,476223,473939,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/01/29,313,309,7,316,320,722466,662741,57701,720441,781497,1583,1516,477806,475455,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/01/30,121,126,0,126,121,722587,662867,57701,720567,781618,646,628,478452,476083,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/01/31,371,311,8,319,380,722958,663178,57709,720886,781998,1970,1873,480422,477956,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/02/01,289,304,9,313,300,723247,663482,57718,721199,782298,1643,1573,482065,479529,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/02/02,311,352,13,365,325,723558,663834,57731,721564,782623,1654,1559,483719,481088,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/02/03,302,289,10,299,315,723860,664123,57741,721863,782938,1561,1484,485280,482572,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/02/04,415,435,6,441,421,724275,664558,57747,722304,783359,1921,1794,487201,484366,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/02/05,286,248,2,250,289,724561,664806,57749,722554,783648,871,812,488072,485178,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/02/06,125,77,0,77,125,724686,664883,57749,722631,783773,515,488,488587,485666,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/02/07,281,273,10,283,292,724967,665156,57759,722914,784065,1433,1323,490020,486989,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/02/08,281,240,11,251,295,725248,665396,57770,723165,784360,1266,1186,491286,488175,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/02/09,273,332,3,335,277,725521,665728,57773,723500,784637,1259,1182,492545,489357,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/02/10,239,231,7,238,247,725760,665959,57780,723738,784884,1088,1004,493633,490361,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/02/11,281,311,2,313,285,726041,666270,57782,724051,785169,1418,1302,495051,491663,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/02/12,200,204,2,206,202,726241,666474,57784,724257,785371,650,604,495701,492267,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/02/13,98,41,0,41,98,726339,666515,57784,724298,785469,290,270,495991,492537,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/02/14,166,157,2,159,169,726505,666672,57786,724457,785638,821,733,496812,493270,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/02/15,157,214,6,220,163,726662,666886,57792,724677,785801,806,723,497618,493993,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/02/16,186,229,6,235,193,726848,667115,57798,724912,785994,1056,968,498674,494961,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/02/17,199,216,2,218,203,727047,667331,57800,725130,786197,995,899,499669,495860,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/02/18,254,280,4,284,258,727301,667611,57804,725414,786455,1194,1059,500863,496919,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/02/19,152,146,1,147,154,727453,667757,57805,725561,786609,616,571,501479,497490,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/02/20,75,57,0,57,75,727528,667814,57805,725618,786684,299,260,501778,497750,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/02/21,105,112,2,114,109,727633,667926,57807,725732,786793,494,439,502272,498189,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/02/22,154,175,4,179,160,727787,668101,57811,725911,786953,808,717,503080,498906,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/02/23,156,175,2,177,158,727943,668276,57813,726088,787111,820,741,503900,499647,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/02/24,220,165,7,172,227,728163,668441,57820,726260,787338,765,689,504665,500336,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/02/25,270,200,7,207,280,728433,668641,57827,726467,787618,1029,925,505694,501261,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/02/26,123,108,2,110,125,728556,668749,57829,726577,787743,500,466,506194,501727,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/02/27,66,50,0,50,66,728622,668799,57829,726627,787809,221,205,506415,501932,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/02/28,169,134,4,138,173,728791,668933,57833,726765,787982,828,745,507243,502677,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/03/01,103,101,11,112,115,728894,669034,57844,726877,788097,622,542,507865,503219,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/03/02,119,120,2,122,121,729013,669154,57846,726999,788218,582,511,508447,503730,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/03/03,135,82,7,89,142,729148,669236,57853,727088,788360,605,516,509052,504246,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/03/04,191,173,7,180,199,729339,669409,57860,727268,788559,759,660,509811,504906,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/03/05,110,95,0,95,111,729449,669504,57860,727363,788670,358,331,510169,505237,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/03/06,50,41,0,41,50,729499,669545,57860,727404,788720,153,136,510322,505373,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/03/07,159,93,4,97,165,729658,669638,57864,727501,788885,521,434,510843,505807,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/03/08,128,84,0,84,128,729786,669722,57864,727585,789013,475,415,511318,506222,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/03/09,132,103,4,107,136,729918,669825,57868,727692,789149,512,423,511830,506645,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/03/10,119,134,4,138,123,730037,669959,57872,727830,789272,535,452,512365,507097,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/03/11,190,148,2,150,193,730227,670107,57874,727980,789465,631,544,512996,507641,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/03/12,95,84,2,86,97,730322,670191,57876,728066,789562,300,263,513296,507904,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/03/13,42,33,1,34,43,730364,670224,57877,728100,789605,143,134,513439,508038,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/03/14,111,77,3,80,114,730475,670301,57880,728180,789719,474,385,513913,508423,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/03/15,93,85,8,93,101,730568,670386,57888,728273,789820,477,397,514390,508820,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/03/16,110,83,3,86,113,730678,670469,57891,728359,789933,457,350,514847,509170,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/03/17,120,105,5,110,125,730798,670574,57896,728469,790058,487,373,515334,509543,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/03/18,161,139,2,141,164,730959,670713,57898,728610,790222,608,457,515942,510000,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/03/19,111,73,1,74,111,731070,670786,57899,728684,790333,268,204,516210,510204,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/03/20,59,28,1,29,60,731129,670814,57900,728713,790393,189,133,516399,510337,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/03/21,121,79,1,80,123,731250,670893,57901,728793,790516,470,330,516869,510667,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/03/22,90,55,4,59,94,731340,670948,57905,728852,790610,388,284,517257,510951,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/03/23,91,88,4,92,96,731431,671036,57909,728944,790706,446,329,517703,511280,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/03/24,106,77,4,81,111,731537,671113,57913,729025,790817,462,339,518165,511619,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/03/25,114,97,3,100,118,731651,671210,57916,729125,790935,496,377,518661,511996,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/03/26,80,63,1,64,81,731731,671273,57917,729189,791016,255,194,518916,512190,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/03/27,51,27,0,27,51,731782,671300,57917,729216,791067,189,131,519105,512321,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/03/28,99,92,3,95,102,731881,671392,57920,729311,791169,505,359,519610,512680,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/03/29,91,65,4,69,95,731972,671457,57924,729380,791264,678,341,520288,513021,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/03/30,88,86,1,87,89,732060,671543,57925,729467,791353,1267,391,521555,513412,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/03/31,106,106,3,109,109,732166,671649,57928,729576,791462,1775,499,523330,513911,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/04/01,128,131,5,136,133,732294,671780,57933,729712,791595,2430,418,525760,514329,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/04/02,70,61,1,62,71,732364,671841,57934,729774,791666,1101,169,526861,514498,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/04/03,39,51,0,51,39,732403,671892,57934,729825,791705,704,103,527565,514601,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/04/04,115,127,2,129,119,732518,672019,57936,729954,791824,2533,349,530098,514950,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/04/05,84,92,10,102,95,732602,672111,57946,730056,791919,2140,319,532238,515269,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/04/06,102,100,1,101,103,732704,672211,57947,730157,792022,2068,315,534306,515584,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/04/07,123,99,3,102,126,732827,672310,57950,730259,792148,2344,339,536650,515923,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/04/08,111,170,1,171,112,732938,672480,57951,730430,792260,2902,387,539552,516310,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/04/09,86,51,2,53,88,733024,672531,57953,730483,792348,1455,205,541007,516515,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/04/10,60,25,0,25,60,733084,672556,57953,730508,792408,633,99,541640,516614,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/04/11,102,95,2,97,105,733186,672651,57955,730605,792513,2418,255,544058,516869,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/04/12,130,86,4,90,136,733316,672737,57959,730695,792649,2298,294,546356,517163,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/04/13,145,93,1,94,146,733461,672830,57960,730789,792795,2286,298,548642,517461,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/04/14,122,92,1,93,123,733583,672922,57961,730882,792918,2385,351,551027,517812,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/04/15,158,133,1,134,159,733741,673055,57962,731016,793077,2748,368,553775,518180,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/04/16,103,68,2,70,105,733844,673123,57964,731086,793182,968,149,554743,518329,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/04/17,70,16,0,16,70,733914,673139,57964,731102,793252,332,58,555075,518387,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/04/18,129,91,1,92,130,734043,673230,57965,731194,793382,2392,274,557467,518661,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/04/19,112,82,4,86,116,734155,673312,57969,731280,793498,2315,265,559782,518926,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/04/20,115,102,2,104,118,734270,673414,57971,731384,793616,2296,314,562078,519240,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/04/21,134,78,1,79,135,734404,673492,57972,731463,793751,2136,301,564214,519541,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2022/04/22,116,95,4,99,121,734520,673587,57976,731562,793872,2389,305,566603,519846,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
